id,review,sentiment
19356141,good points lot good near metro transportation near archeological museum good neighborhood urban gritty traffic noise rather constant operation four sleeping rooms two bathrooms kitchen little foyer sixth floor older building ambiance shabby flea market really dirty particularly clean real locks bathrooms breakfast joke three slices bread two cookies little container butter one jam host resident must rely considerate behaviour fellow guests assured awful particularly good,neutral
26854788,first negative review hundreds stayed lot airbnb places lot hotels written hundreds reviews never wrote negative summarize took forever get place help top host never apologized went extent blaming us contacting even though scheduled key pickup person named natalia never showed full story main issue locked apartment hour arrived told person named natalia would meet us street corner wasnt never met anyone name minutes waiting went local convenience store asked could use wifi told store clerk waiting someone get key said didnt know would wait tomorrow get wifi owner store walked local stores asking wifi people rude helpful one store told us go local coffee shop closed got note verizon cell phone company told would cost per megabyte use internet greece without wifi could use internet get foris number pregnant fianc started crying nobody local willing help give wifi hour searching waiting point stopped caring phone charges turned phone called airbnb emergency line love airbnb wish emergency line would connect directly person bunch prompts told situation asked contacted foris said would didnt want use expensive data understood said would contact airbnb told would come downstairs let us lie already rang knew nobody airbnb asked would wait another minutes get us said yes offered pay hotel could get airbnb called back talking store clerk talked earlier came us key key whole time whole day traveling dragging stuff around trying find wifi key upset say least dont take lightly giving bad review even considered one day making,negative
709337594705544790,really nice stay elpidoforos flat really near center directly next exarchia flat everything need thanks lot,positive
685256187495753094,one thoughtful places ever stayed airbnb incredibly nice decorated clean apartment little touches bottle wine phone unexpected greatly appreciated loved time would absolutely recommend someone else,positive
793201359753040675,cant recommend apartment casavathel doesnt correspond announcement next reasons br host thelma cousin uninterested apartment doesnt nice language clients br inside apartment smell hard cigarette inclusive bedroom bed sheets alsobr days staying didnt another ned sheets towels one set begging internet interrupted often br electricity weak couldnt use time cooking oven hot water heating devices use one one br founded big dust everywhere cant describe dust wardrobe bedroom cousin host told us clean per year general cleaning br kitchen staff oven dirty clean br worst experience renting apartment ever met brone star apartment much,negative
28279814,loved staying marilias place cool vibe apartment full color character kitchen small sufficient bed comfortable tired walking day care apartment located right philopappos hill hiked hill multiple times one night took sunset photos top unfortunately luck philopappos hill ran different night mugged knife point definitely avoid going late bring pepper spray something besides felt safe marilias apartment easy time navigating city foot easy walk main sights apartment also took metro ferry station airport ease apartment clean comfortable shown photos,positive
581717482553036448,rented jules place nights could stay night due air conditioning working first night hot miserable night leave windows open night try get breeze texted jules next morning said would send someone repair air conditioning unit gone bri could tell someone got back late afternoon shower dirty washed filters left mess unit worked well minutes got hot pm know wont able get repairman come back time day make decision move hotel wouldnt able spend another night heat inconvenient ended costing money hadnt planned jules sent text offering settle euros actually owed told stayed less time reserved felt owed us euros told unkind didnt thermostat set correctly live area days year degrees fahrenheit im familiar set air conditionerbrjules continuously denied anything wrong air conditioner fault setting properly left apartment condition arrivedbrin end get last word,negative
25072284,everything fine,positive
27218910,foris appartment well equipped perfectly located close metro bus station direct bus airport still quiet street neatthe balcony pleasant spending evening bad luck stay water cut one day mistake foris helpful available best fix problem fast possible even though athens time stay conclusion support title add given floris namely every one stayed loved itwell perfectly true,positive
34712527,coming athens every year hammers festival second time stayed yagos lovely little apartment rooftop terrace awesome plants nice green oasis concretejungle named athens attractions walking distance metro close great place start excursions surrounding exarchia great finish days one countless bars cafes restaurantsbrwe didnt yagos person communication easy fast friendly via text brcant wait back athens,positive
